Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition
"Restored Dell Optiplex Desktop Computer 3.0 GHz Core i5 Tower PC, 16GB, 250GB HDD, Windows 10 Home x64, 19"" Dual Monitor , USB Mouse & Keyboard (Refurbished)",GTI-M1L-XSE,0.00,0,0,2,0.0,773040424,773040424,2,0.0,0.00,0.00,0.00,TABLETS,Dell,100.0,0.00,"",0,New
"Pre-Owned Dell OptiPlex 7010 Desktop Towers, Intel Core i5, 16GB, 2TB HD, DVD, Black",LOL-KD3K-L3J,0.00,0,0,0,"",137506491,137506491,0,"",0.00,0.00,0.00,TABLETS,Dell,66.32655715942383,0.00,"",0,Pre-Owned: Like New
"Dell OptiPlex 3020 Ultra Small Form Desktop Computer PC, 3.20 GHz Intel i5 Quad Core , 16GB DDR3 RAM, 480SSD HDD Hard Drive, Windows 7 Pro 64Bit with 19"" LCD Monitor",6UN-9B5M-TKX,0.00,0,1,1,100.0,843007206,843007206,3,33.33333333333333,171.93,0.00,171.93,COMPUTING,Dell,50.0,0.00,171.93000000000000000,0,New
"Restored Dell 990 SFF Desktop PC with Intel Core i5-2400 Processor, 8GB Memory, 500GB Hard Drive and Windows 10 Pro (Refurbished)",UUV-MADK-XPHT,330.00,3,1,0,"",56238086,56238086,3,33.33333333333333,330.00,0.00,0.00,TABLETS,Dell,32.653114318847656,310.20,110.00000000000000000,0,Restored: Like New
"Dell Optiplex 7020 Desktop Computer, Intel Core I5, 4GB RAM 512GB SSD Windows 10 Professional, Includes USB Keyboard and Mouse",H2V-ZTDU-OGDV,139.90,1,1,1,100.0,514074026,514074026,2,50.0,139.90,0.00,0.00,TABLETS,Dell,100.0,131.51,139.90000000000000000,0,New
"Restored HP G1 Desktop Computer Core i5 Processor 3.2GHz 16GB RAM 256GB SSD Dual 22"" LCD Windows 10 Pro (Refurbished)",B0B-BE3-LHV3,0.00,0,0,0,"",1416575514,1416575514,0,"",0.00,0.00,0.00,TABLETS,HP,0.0,0.00,"",0,Restored: Like New
"Restored Dell OptiPlex Desktop Computer | Intel Core i7 6th gen | 16GB RAM | 2TB HDD | Windows 10 Pro | Dual 22"" LCD (Refurbished)",YZ6J-G7S0-EN6XD,309.00,1,1,3,33.33333333333333,11157953237,11157953237,5,20.0,309.00,0.00,0.00,TABLETS,Dell,100.0,290.46,309.00000000000000000,0,Restored: Like New
"Dell OptiPlex 7010 Desktop Computer PC, 3.40 GHz Intel i7 Quad Core Gen 3, 16GB DDR3 RAM, 1TB Hard Disk Drive (HDD) SATA Hard Drive, Windows 10 Home 64bit",QAW-WDL-SAT,0.00,0,0,0,"",594339455,594339455,0,"",0.00,0.00,0.00,COMPUTING,Dell,0.0,0.00,"",0,New
Dell OptiPlex 7010 Desktop PC Tower System Windows 11 Pro Intel i5 Processor 16GB Ram 480SSD Hard Drive DVD Wifi with a (Monitor Not Included) -Used Computer,VQ2-2BO-O91S,208.41,1,1,1,100.0,2151885126,2151885126,3,33.33333333333333,208.41,0.00,0.00,TABLETS,Dell,27.988384246826172,195.91,208.41000000000000000,0,New
"Dell OptiPlex Desktop Tower Computer, Intel Core i5 i5-4690, 8GB RAM, DVD Writer, Windows 8.1 Pro, 3020",L35-5SK-AW30,0.00,0,0,1,0.0,41680998,41680998,2,0.0,0.00,0.00,0.00,COMPUTING,Dell,100.0,0.00,"",0,New
