Item_Name,SKU,GMV,Units_Sold,Orders,Offer_Pageviews,Offer_Conversion,Item_id,Base_Item_Id,Item_Pageviews,Item_Conversion,Auth_Sales,Cancelled_Sales,Refund_Sales,Department,Brand,Listing_Quality_Score,GMV_Minus_Commission,AUR,Cancelled_Units,Item_Condition,cancellation_Rate,Refund_Rate
Restored Dell Optiplex 3010 SFF I5-3470 QC 3.2Ghz 4Gb 2TB Dvd Windows 10 Home 64 Bit Desktop Computer PC HDMI () (Refurbished),F56-6M4-HL7Q,0.0,0,1,0,,187621299,187621299.0,0,,177.89,0.0,177.89,TABLETS,Dell,50.0,0.0,177.89,0,Restored: Like New,0.0,177.89
"Gaming HP 8200 Desktop Computer PC - Intel Quad-Core i5, 512GB SSD, 4GB DDR3 RAM, Windows 11 Pro, DVD, WIFI, (Monitor Not Included), RGB Keyboard and Mouse (Used - Like )",ZFSG-A8K-G952A,0.0,0,0,0,,3856749919,3856749919.0,0,,0.0,0.0,0.0,TABLETS,HP,0.0,0.0,,0,New,,
"Pre-Owned Dell Optiplex 7010, Intel i5 3.1GHz, 16GB RAM, 2TB HD, Windows 11 Home",HL3-6M8R-52X,479.7,3,5,35,11.428571428571429,750532416,750532416.0,82,6.097560975609756,799.5,159.9,159.9,TABLETS,Dell,65.12743974501088,450.93,159.9,1,Pre-Owned: Good,0.2,31.98
"Dell Optiplex 790 Tower Computer PC, 3.20 GHz Intel i5 Quad Core Gen 2, 8GB DDR3 RAM, 2TB SATA Hard Drive, Windows 11 Professional 64bit",VB9-7Z61-M76,1040.23,7,11,60,18.33333333333333,557447902,557447902.0,106,10.37735849056604,1630.79,0.0,590.56,COMPUTING,Dell,44.44444444444444,986.83,148.2536363636,0,New,0.0,53.68727272727272
"HP ProDesk 6300 Desktop Computer, Intel i5, 8GB DDR3 RAM, 1TB HD",FU2-0M10-Y88,0.0,0,0,1,0.0,250695433,250695433.0,109,2.752293577981652,0.0,0.0,0.0,COMPUTING,HP,0.0,0.0,,0,New,,
"Windows 11 Pro Dell OptiPlex 3020 Desktop Computer, Intel Core i3 Dual-core (2 Core) 3.50 GHz, 16GB RAM DDR3 480SSD HDD, Small Form Factor with (Monitor Not Included)",5O3-FVTZ-FBV,3029.93,17,18,258,7.751937984496124,210287564,210287564.0,539,4.081632653061225,3555.49,0.0,525.56,TABLETS,Dell,62.04612350463867,2848.15,177.7745,0,New,0.0,29.197777777777773
"HP Compaq 6200 Desktop Computer PC, 3.20 GHz Intel i7 Quad Core Gen 2, 8GB DDR3 RAM, 250GB Hard Disk Drive (HDD) SATA Hard Drive, Windows 10 Home 64bit",MUA-AZL-JBRJ,0.0,0,0,0,,426298714,426298714.0,2,0.0,0.0,0.0,0.0,COMPUTING,HP,0.0,0.0,,0,New,,
"Dell Optiplex 7010 SFF Desktop i5 3.3Ghz 8GB 1TB DVDRW HDMI Win 11 1Yr Warranty +17"" Monitor",GE5-0K96-L92,1285.76,8,10,112,8.928571428571429,822239011,822239011.0,225,5.333333333333334,1625.34,0.0,339.58,COMPUTING,Dell,19.63643593258328,1208.6,162.534,0,New,0.0,33.958
Lenovo M92P Desktop Computer PC Intel Quad-Core i5 3.2GHz Processor 4GB RAM 2TB HDD Windows 11 Pro with AMD Radeon Graphics Card (Roblox Ready),XP4-1N74-J61,500.52,3,5,20,25.0,374356116,374356116.0,33,15.151515151515152,1001.04,0.0,500.52,COMPUTING,Lenovo,40.0,470.49,166.84,0,New,0.0,100.104
Restored Dell Optiplex 9020 Desktop Computer Intel Core i5 16GB RAM 500GB HDD Windows 7 Pro with 22 LCD Monitor (Refurbished),I1N-V0X1-IAE,160.18,1,1,2,100.0,718683732,718683732.0,4,50.0,160.18,0.0,0.0,TABLETS,Dell,100.0,150.57,160.18,0,Restored: Like New,0.0,0.0
