#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"PC Desktops & All-In-Ones (179)","167765869992",Dell Optiplex Tower Intel Core i5-9th 16Gb 256Gb SSD Windows 11 pro,"US","USD","272.25",,"0",,,94QA-IJFQ-HM54B
Revise,"PC Desktops & All-In-Ones (179)","167770096653","DELL OptiPlex Desktop PC i7,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT","US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852307
,,,,,,"134.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=256 GB,IF_2C293D70
,,,,,,"158.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=512 GB,IF_35B5AB01
,,,,,,"166.6",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB,IF_CB0471DA
,,,,,,"158.6",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB,IF_6688C352
,,,,,,"182.6",,"2","Variation",RAM Size=16 GB|SSD Capacity=512 GB,IF_496FC182
,,,,,,"222.6",,"3","Variation",RAM Size=16 GB|SSD Capacity=1 TB,IF_D927370C
,,,,,,"222.6",,"3","Variation",RAM Size=32 GB|SSD Capacity=256 GB,IF_B2EB56A4
,,,,,,"238.6",,"3","Variation",RAM Size=32 GB|SSD Capacity=512 GB,IF_0E5D9C30
,,,,,,"262.6",,"1","Variation",RAM Size=32 GB|SSD Capacity=1 TB,IF_B6B8757F
Revise,"PC Desktops & All-In-Ones (179)","157298374112","DELL OptiPlex Desktop PC i5,Up to 32GB RAM, 1TB NVME SSD,Windows 11 PRO,Wifi+BT","US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|SSD Capacity=256 GB;512 GB;1 TB,33852309
,,,,,,"112.17",,"10","Variation",RAM Size=8 GB|SSD Capacity=256 GB,IF_4FCBCCE8
,,,,,,"133.17",,"10","Variation",RAM Size=8 GB|SSD Capacity=512 GB,IF_93E14B1B
,,,,,,"140.17",,"3","Variation",RAM Size=8 GB|SSD Capacity=1 TB,IF_4AF8F298
,,,,,,"133.17",,"3","Variation",RAM Size=16 GB|SSD Capacity=256 GB,IF_18D2B485
,,,,,,"154.17",,"2","Variation",RAM Size=16 GB|SSD Capacity=512 GB,IF_9BD04D7F
,,,,,,"189.17",,"3","Variation",RAM Size=16 GB|SSD Capacity=1 TB,IF_9B093AF0
,,,,,,"189.17",,"3","Variation",RAM Size=32 GB|SSD Capacity=256 GB,IF_8FD3811A
,,,,,,"203.17",,"10","Variation",RAM Size=32 GB|SSD Capacity=512 GB,IF_CB24E8F5
,,,,,,"224.17",,"10","Variation",RAM Size=32 GB|SSD Capacity=1 TB,IF_2040DA2A
Revise,"PC Desktops & All-In-Ones (179)","157298843945",Dell OptiPlex SFF Desktop PC Intel i5 | Up to 32GB RAM | 1TB SSD | Win 10/11 Pro,"US","USD",,,,,RAM Size=8 GB;16 GB;32 GB|Hard Drive Capacity=256 GB;512 GB;1TB SSD|Operating System=Windows 10 Pro;Windows 11 Pro,33852731
,,,,,,"162.25",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_515934EF
,,,,,,"165.25",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_978AD2CC
,,,,,,"218.0",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_52B11C4C
,,,,,,"220.99",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_083B52AE
,,,,,,"294.56",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_51008F76
,,,,,,"295.5",,"3","Variation",RAM Size=8 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_76F6E1FC
,,,,,,"215.25",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_CB2445F8
,,,,,,"216.25",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_5C9C9740
,,,,,,"258.54",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_77556958
,,,,,,"260.25",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_CC106749
,,,,,,"348.88",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_8EB41472
,,,,,,"352.5",,"3","Variation",RAM Size=16 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_579686CA
,,,,,,"262.4",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 10 Pro,IF_173CE468
,,,,,,"263.99",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=256 GB|Operating System=Windows 11 Pro,IF_655E12D1
,,,,,,"310.99",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 10 Pro,IF_F96557E9
,,,,,,"312.5",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=512 GB|Operating System=Windows 11 Pro,IF_A3112C40
,,,,,,"399.99",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 10 Pro,IF_E771B3A5
,,,,,,"417.52",,"3","Variation",RAM Size=32 GB|Hard Drive Capacity=1TB SSD|Operating System=Windows 11 Pro,IF_D71E1C3F
Revise,"PC Desktops & All-In-Ones (179)","157312859594","DELL Desktop Computer PC i5,up to 32GB RAM,1TB m.2 SSD, Windows 10/11, WiFi","US","USD",,,,,Operating System=Windows 11 Pro;Windows 10 Pro|RAM Size=8 GB;16 GB;32 GB|SSD Capacity=128 GB;250 GB;500 GB;1 TB|Accessories=NONE,N5G-IF6-GXB
,,,,,,"115.4",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_E3B10D9A
,,,,,,"140.2",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_D599B172
,,,,,,"173.0",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_E3562A0F
,,,,,,"206.6",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_522BDEDB
,,,,,,"128.2",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_1AA7419F
,,,,,,"153.8",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_BDFA39EF
,,,,,,"187.4",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_9904A0D4
,,,,,,"220.2",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=16 GB|SSD Capacity=1 TB|Accessories=NONE,IF_ED963D54
,,,,,,"149.8",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=128 GB|Accessories=NONE,IF_BC17040F
,,,,,,"173.0",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=250 GB|Accessories=NONE,IF_AE063ACA
,,,,,,"208.2",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=500 GB|Accessories=NONE,IF_FD8AA980
,,,,,,"242.6",,"10","Variation",Operating System=Windows 11 Pro|RAM Size=32 GB|SSD Capacity=1 TB|Accessories=NONE,IF_319F6A60
,,,,,,"102.6",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=128 GB|Accessories=NONE,IF_544B799B
,,,,,,"132.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=250 GB|Accessories=NONE,IF_892BCCBB
,,,,,,"165.8",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=500 GB|Accessories=NONE,IF_D9C5AD49
,,,,,,"200.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=8 GB|SSD Capacity=1 TB|Accessories=NONE,IF_07291B55
,,,,,,"120.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=128 GB|Accessories=NONE,IF_90521275
,,,,,,"144.2",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=250 GB|Accessories=NONE,IF_F66C5CE9
,,,,,,"178.6",,"10","Variation",Operating System=Windows 10 Pro|RAM Size=16 GB|SSD Capacity=500 GB|Accessories=NONE,IF_5A4E6062
